# number of observations n 
 338 
# number of categories m 
 4 
# dimension of parameter vector p 
 5 
# dimension of conditional variables q 
 4 
# number of groups ngp 
 12 
# response counts Y 
15 16 22 22
17 20 15 11
7 16 20 16
10 7 14 7
3 11 9 5
8 0 3 12
4 3 8 5
3 6 2 5
0 1 1 1
3 1 0 3
2 1 2 2
0 1 2 1
0 0 0 1
0 0 0 1
1 0 0 0
0 0 0 1
1 2 0 0
2 1 1 0
9 3 3 4
10 9 7 7
12 17 11 19
25 17 25 23
25 16 32 22
17 23 23 19
21 16 19 17
16 18 26 24
24 18 21 18
24 17 16 20
21 17 17 21
7 20 18 15
14 13 9 24
9 10 13 9
7 10 5 9
6 8 3 7
3 2 4 2
5 3 4 2
2 1 4 3
2 0 1 2
0 1 1 2
2 4 2 1
0 1 0 0
0 1 0 0
1 0 0 0
0 0 2 0
2 0 4 0
5 5 6 6
15 12 17 15
15 16 12 15
32 20 15 23
28 21 30 25
21 21 18 22
24 12 19 20
23 27 22 23
22 16 22 13
32 25 13 21
18 18 25 19
19 18 11 17
14 8 5 13
14 13 8 7
8 12 6 6
7 6 3 6
6 7 2 10
5 6 4 8
2 5 2 5
0 1 3 1
1 2 0 1
3 2 1 1
0 1 0 0
0 0 2 0
0 1 0 0
0 1 0 1
0 0 2 0
0 1 1 1
0 3 9 3
3 7 19 10
14 23 22 35
10 30 39 29
29 39 63 53
22 45 49 52
22 40 29 35
24 37 28 29
21 29 32 26
16 26 23 13
20 18 23 20
14 17 22 12
13 14 11 15
4 15 10 3
2 4 3 7
11 5 3 6
7 2 6 3
6 3 3 3
2 2 0 2
2 0 1 0
1 0 0 0
0 1 1 1
0 0 1 0
0 1 0 0
0 0 1 0
0 1 0 0
0 2 0 0
2 2 1 0
3 5 1 3
5 6 3 3
18 5 8 8
30 13 12 14
30 30 23 29
45 22 26 29
42 26 28 45
37 33 18 34
32 27 34 21
37 27 20 38
25 26 29 31
16 13 15 15
14 18 19 18
23 18 16 17
8 19 14 17
9 11 12 10
8 11 14 9
2 0 6 3
2 4 6 3
0 3 2 3
0 4 2 3
0 0 2 2
0 1 1 0
0 2 0 2
0 0 1 1
0 1 1 0
0 0 0 1
0 0 1 0
0 0 1 0
2 0 1 0
2 3 3 1
8 6 5 3
25 8 23 13
39 30 30 26
47 39 40 40
61 35 43 38
66 48 46 46
41 45 53 50
34 28 28 32
30 26 29 28
12 16 15 22
15 20 13 23
16 15 15 14
14 13 19 12
12 7 9 8
7 7 7 6
5 4 6 4
4 7 6 8
5 2 8 3
1 2 6 3
0 0 2 1
0 3 2 1
1 2 3 1
1 0 0 1
1 0 1 1
1 2 0 0
2 0 0 0
2 1 1 0
2 1 2 2
4 6 4 2
25 9 19 10
33 18 24 13
30 30 32 25
40 24 32 29
48 32 33 31
45 18 22 29
32 28 30 19
25 27 25 17
13 32 26 19
12 19 15 20
16 19 19 15
13 19 18 10
5 9 5 8
5 6 2 5
1 5 8 4
2 6 4 0
4 2 5 2
1 1 2 1
1 2 1 4
0 1 0 1
0 0 1 0
0 0 0 1
0 1 0 0
# model/design matrix X 
1 22 0 0 0
1 23 0 0 0
1 24 0 0 0
1 25 0 0 0
1 26 0 0 0
1 27 0 0 0
1 28 0 0 0
1 29 0 0 0
1 30 0 0 0
1 31 0 0 0
1 32 0 0 0
1 33 0 0 0
1 34 0 0 0
1 35 0 0 0
1 36 0 0 0
1 37 0 0 0
1 38 0 0 0
1 39 0 0 0
1 40 0 0 0
1 41 0 0 0
1 42 0 0 0
1 43 0 0 0
1 44 0 0 0
1 45 0 0 0
1 46 0 0 0
1 47 0 0 0
1 48 0 0 0
1 17 0 0 1
1 21 0 0 1
1 22 0 0 1
1 23 0 0 1
1 24 0 0 1
1 25 0 0 1
1 26 0 0 1
1 27 0 0 1
1 28 0 0 1
1 29 0 0 1
1 30 0 0 1
1 31 0 0 1
1 32 0 0 1
1 33 0 0 1
1 34 0 0 1
1 35 0 0 1
1 36 0 0 1
1 37 0 0 1
1 38 0 0 1
1 39 0 0 1
1 40 0 0 1
1 41 0 0 1
1 42 0 0 1
1 43 0 0 1
1 44 0 0 1
1 45 0 0 1
1 47 0 0 1
1 51 0 0 1
1 18 0 0 1
1 20 0 0 1
1 21 0 0 1
1 22 0 0 1
1 23 0 0 1
1 24 0 0 1
1 25 0 0 1
1 26 0 0 1
1 27 0 0 1
1 28 0 0 1
1 29 0 0 1
1 30 0 0 1
1 31 0 0 1
1 32 0 0 1
1 33 0 0 1
1 34 0 0 1
1 35 0 0 1
1 36 0 0 1
1 37 0 0 1
1 38 0 0 1
1 39 0 0 1
1 40 0 0 1
1 41 0 0 1
1 42 0 0 1
1 43 0 0 1
1 44 0 0 1
1 45 0 0 1
1 46 0 0 1
1 47 0 0 1
1 48 0 0 1
1 50 0 0 1
1 51 0 0 1
1 20 0 0 1
1 21 0 0 1
1 22 0 0 1
1 23 0 0 1
1 24 0 0 1
1 25 0 0 1
1 26 0 0 1
1 27 0 0 1
1 28 0 0 1
1 29 0 0 1
1 30 0 0 1
1 31 0 0 1
1 32 0 0 1
1 33 0 0 1
1 34 0 0 1
1 35 0 0 1
1 36 0 0 1
1 37 0 0 1
1 38 0 0 1
1 39 0 0 1
1 40 0 0 1
1 41 0 0 1
1 42 0 0 1
1 43 0 0 1
1 44 0 0 1
1 45 0 0 1
1 48 0 0 1
1 21 0 0 0
1 22 0 0 0
1 23 0 0 0
1 24 0 0 0
1 25 0 0 0
1 26 0 0 0
1 27 0 0 0
1 28 0 0 0
1 29 0 0 0
1 30 0 0 0
1 31 0 0 0
1 32 0 0 0
1 33 0 0 0
1 34 0 0 0
1 35 0 0 0
1 36 0 0 0
1 37 0 0 0
1 38 0 0 0
1 39 0 0 0
1 40 0 0 0
1 41 0 0 0
1 42 0 0 0
1 43 0 0 0
1 44 0 0 0
1 45 0 0 0
1 46 0 0 0
1 48 0 0 0
1 17 0 0 0
1 20 0 0 0
1 22 0 0 0
1 23 0 0 0
1 24 0 0 0
1 25 0 0 0
1 26 0 0 0
1 27 0 0 0
1 28 0 0 0
1 29 0 0 0
1 30 0 0 0
1 31 0 0 0
1 32 0 0 0
1 33 0 0 0
1 34 0 0 0
1 35 0 0 0
1 36 0 0 0
1 37 0 0 0
1 38 0 0 0
1 39 0 0 0
1 40 0 0 0
1 41 0 0 0
1 42 0 0 0
1 43 0 0 0
1 44 0 0 0
1 46 0 0 0
1 50 0 0 0
1 20 1 0 0
1 21 1 0 0
1 22 1 0 0
1 23 1 0 0
1 24 1 0 0
1 25 1 0 0
1 26 1 0 0
1 27 1 0 0
1 28 1 0 0
1 29 1 0 0
1 30 1 0 0
1 31 1 0 0
1 32 1 0 0
1 33 1 0 0
1 34 1 0 0
1 35 1 0 0
1 36 1 0 0
1 37 1 0 0
1 38 1 0 0
1 39 1 0 0
1 40 1 0 0
1 41 1 0 0
1 42 1 0 0
1 43 1 0 0
1 44 1 0 0
1 45 1 0 0
1 48 1 0 0
1 50 1 0 0
1 18 1 0 0
1 22 1 0 0
1 23 1 0 0
1 24 1 0 0
1 25 1 0 0
1 26 1 0 0
1 27 1 0 0
1 28 1 0 0
1 29 1 0 0
1 30 1 0 0
1 31 1 0 0
1 32 1 0 0
1 33 1 0 0
1 34 1 0 0
1 35 1 0 0
1 36 1 0 0
1 37 1 0 0
1 38 1 0 0
1 39 1 0 0
1 40 1 0 0
1 41 1 0 0
1 42 1 0 0
1 43 1 0 0
1 44 1 0 0
1 45 1 0 0
1 46 1 0 0
1 47 1 0 0
1 18 1 0 0
1 20 1 0 0
1 21 1 0 0
1 22 1 0 0
1 23 1 0 0
1 24 1 0 0
1 25 1 0 0
1 26 1 0 0
1 27 1 0 0
1 28 1 0 0
1 29 1 0 0
1 30 1 0 0
1 31 1 0 0
1 32 1 0 0
1 33 1 0 0
1 34 1 0 0
1 35 1 0 0
1 36 1 0 0
1 37 1 0 0
1 38 1 0 0
1 39 1 0 0
1 40 1 0 0
1 41 1 0 0
1 42 1 0 0
1 43 1 0 0
1 44 1 0 0
1 45 1 0 0
1 47 1 0 0
1 49 1 0 0
1 17 0 1 0
1 20 0 1 0
1 21 0 1 0
1 22 0 1 0
1 23 0 1 0
1 24 0 1 0
1 25 0 1 0
1 26 0 1 0
1 27 0 1 0
1 28 0 1 0
1 29 0 1 0
1 30 0 1 0
1 31 0 1 0
1 32 0 1 0
1 33 0 1 0
1 34 0 1 0
1 35 0 1 0
1 36 0 1 0
1 37 0 1 0
1 38 0 1 0
1 39 0 1 0
1 40 0 1 0
1 41 0 1 0
1 42 0 1 0
1 43 0 1 0
1 44 0 1 0
1 45 0 1 0
1 46 0 1 0
1 47 0 1 0
1 49 0 1 0
1 16 0 1 0
1 20 0 1 0
1 21 0 1 0
1 22 0 1 0
1 23 0 1 0
1 24 0 1 0
1 25 0 1 0
1 26 0 1 0
1 27 0 1 0
1 28 0 1 0
1 29 0 1 0
1 30 0 1 0
1 31 0 1 0
1 32 0 1 0
1 33 0 1 0
1 34 0 1 0
1 35 0 1 0
1 36 0 1 0
1 37 0 1 0
1 38 0 1 0
1 39 0 1 0
1 40 0 1 0
1 41 0 1 0
1 42 0 1 0
1 43 0 1 0
1 44 0 1 0
1 45 0 1 0
1 46 0 1 0
1 48 0 1 0
1 20 0 1 0
1 22 0 1 0
1 23 0 1 0
1 24 0 1 0
1 25 0 1 0
1 26 0 1 0
1 27 0 1 0
1 28 0 1 0
1 29 0 1 0
1 30 0 1 0
1 31 0 1 0
1 32 0 1 0
1 33 0 1 0
1 34 0 1 0
1 35 0 1 0
1 36 0 1 0
1 37 0 1 0
1 38 0 1 0
1 39 0 1 0
1 40 0 1 0
1 41 0 1 0
1 42 0 1 0
1 43 0 1 0
1 44 0 1 0
1 46 0 1 0
1 47 0 1 0
1 49 0 1 0
# conditional matrix Xcond 
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
293.5 343.75 227 415
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
555.25 430.7 393.8 186.5
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
374.8 407.2 204 228.95
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
490.1 458.8 221 211.8
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
275.55 278.2 158.65 364.25
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
306 420.05 188.4 269.65
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
203.1 635.3 486.4 362.5
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
411.3 592.7 397.6 440.3
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
357.1 543.7 678.4 419.9
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
616.5 264.4 389 416.4
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
452.3 240 305.5 309.2
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
618 264.8 279.5 497.95
# groups 
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 
# Offset (log(q[i]/q[1])) 
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 -0.0330641671111497 0.442645739161505 -0.312452669292705
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 0.268961381310072 0.299869957853003 1.34823363584725
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
0 -0.0134175398512278 0.933338529021877 0.864375842507085
