# number of observations n 
 200 
# number of categories m 
 4 
# dimension of parameter vector p 
 2 
# number of groups ngp 
 20 
# response counts Y 
7 2 5 6
0 0 8 12
5 7 1 7
5 1 4 10
3 0 4 13
2 0 8 10
0 0 20 0
0 0 20 0
0 0 20 0
1 1 17 1
3 9 8 0
1 0 19 0
0 0 20 0
1 0 19 0
0 0 20 0
1 0 19 0
0 0 17 3
1 0 12 7
5 2 6 7
3 1 11 5
1 0 9 10
3 4 5 8
2 1 8 9
3 2 6 9
2 0 11 7
0 2 9 9
0 0 3 17
5 6 1 8
1 0 3 16
0 0 3 17
2 2 1 15
4 2 4 10
3 1 1 15
6 2 0 12
4 5 0 11
1 0 6 13
0 0 20 0
2 3 15 0
2 0 18 0
2 5 13 0
0 0 20 0
1 1 18 0
1 0 19 0
0 2 18 0
2 2 16 0
0 1 19 0
# model/design matrix X 
1 -0.037630241671281
1 -0.56232888060084
1 -1.59395863291516
1 0.169276332619965
1 0.674007653448602
1 -0.0489635000717616
1 0.569181167868676
1 -0.456454483678655
1 0.196834468562901
1 1.4141551876803
1 -0.744261022071402
1 -0.209932104278703
1 -0.570233699509706
1 0.29449514465423
1 -0.301140038228988
1 -0.543687403781093
1 -0.0927320368850944
1 0.52170606410735
1 -1.30104613673387
1 -0.647431550041472
1 -1.3044440702111
1 -0.816750916386815
1 0.0248790597191588
1 1.72124544333064
1 -1.29782776574612
1 -0.80122043366118
1 1.69611301731294
1 -0.332546019900992
1 -2.18244165762521
1 1.16729066277687
1 -1.08202277772169
1 -2.38197070230735
1 0.0491944517665314
1 0.459034266281276
1 1.65918969334341
1 0.589578228755396
1 -0.843458983379106
1 0.599023355919845
1 -1.69966016476294
1 -0.341967635486172
1 -1.27885355920214
1 0.257278503750515
1 -1.27964182846553
1 0.656592591386175
1 -1.01796203091486
1 -0.936940699077295
1 -2.11122090142707
1 -0.15497876036397
1 0.343368665908363
1 0.603578869042708
1 -1.22167081714987
1 -0.0449862073582226
1 -1.01889450077051
1 1.05332774526797
1 2.57594163302683
1 1.16245707302322
1 0.326842680082089
1 -1.58322547608907
1 -0.516642865382472
1 0.517569255489768
1 0.764068275591625
1 -0.386826821867477
1 -0.317792494837263
1 0.183592194608073
1 0.932044986052274
1 0.926090907363348
1 1.04158257474173
1 0.337725089572308
1 0.312526567832687
1 1.79709204777053
1 -0.610456529989453
1 1.81070888203058
1 -0.0205893597092611
1 0.484505811961976
1 1.17381652143018
1 0.610025903291177
1 1.73094373667494
1 0.282332694960292
1 -0.0567693159469474
1 -0.0464949099192933
1 -0.394631242851824
1 -1.00269948693571
1 -1.77863599101789
1 -0.618397996371065
1 -0.323443752645252
1 -1.0997934317268
1 1.19674211204441
1 -0.35585121066347
1 -0.31217821467111
1 1.36361567104425
1 0.359231809871893
1 2.42315276676834
1 1.29903821692231
1 0.532418092585981
1 -1.1818216271232
1 0.512718223072114
1 0.262625551934554
1 0.41454803579124
1 0.390041042455888
1 1.20286978932987
1 0.218408207470954
1 -0.0541874441829651
1 0.588379177923663
1 1.24146513704203
1 -0.629650734254756
1 -1.15093031763689
1 0.158410396021528
1 0.777242675515906
1 0.246040513670902
1 0.748725398085671
1 -1.12605409285956
1 -0.0435460823172092
1 1.52334766206347
1 0.344700224577733
1 1.26929915655773
1 0.464459242529841
1 0.900086196377283
1 -2.65341158874865
1 -0.149934962900695
1 -0.416070054339584
1 -0.475048358500466
1 0.833820034463732
1 2.2542864669739
1 1.20070108430283
1 -1.16411914438159
1 0.174160919230303
1 1.09422174537188
1 -0.325301646974363
1 0.939602442800296
1 0.437018573514814
1 -0.5468758004392
1 -0.306237573465973
1 -0.625542823949662
1 -0.37248509625003
1 0.859932378083184
1 0.718132587149719
1 0.439574807017238
1 -1.52452381267025
1 1.31234782333829
1 1.99264988989303
1 1.2702151999687
1 -1.07240952541938
1 0.757724368301493
1 0.890849351985189
1 0.372691192051975
1 -1.06494073210586
1 -1.37269230267338
1 -0.0712031335828748
1 -0.734387904577621
1 -0.540232597684979
1 1.26091018764096
1 1.13561635252734
1 -1.1093399451864
1 0.921856710209038
1 -0.845282887426587
1 1.58835802502096
1 -1.12366596176204
1 -0.212690596269804
1 1.30958867862219
1 0.927687754820486
1 2.15228693416142
1 0.545536739822389
1 1.66550101922402
1 -0.396688830513176
1 -1.13261918518932
1 0.0754403850615273
1 0.00927107071101159
1 0.0537257034060355
1 0.536224321539475
1 -0.118526513255866
1 1.69149201645828
1 0.309097244937312
1 -0.462809326288011
1 0.761009798737956
1 1.17551039744604
1 -0.575197856870592
1 0.470232871521308
1 0.41994812503237
1 0.627811188128969
1 -0.197656293659169
1 1.61934449785576
1 -1.74891102326046
1 1.12571088568754
1 1.64245372845478
1 -0.18000433670438
1 -0.376492980569646
1 -0.804294736199738
1 -0.79277612187139
1 -1.05932122288613
1 1.37586122395807
1 0.193376190736364
1 -0.612175780320486
1 0.99395710650044
1 -1.04918794516507
1 -0.183111973990888
1 0.115674435013402
1 0.635095574456132
1 0.118941209150512
1 -0.343064489159831
1 0.26812224655337
# groups 
 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 
