# number of observations n 
 352 
# number of categories m 
 4 
# dimension of parameter vector p 
 6 
# dimension of conditional variables q 
 4 
# number of groups ngp 
 12 
# response counts Y 
1 0 0 0 -0.073122834482618 0.0550475154479855
1 0 0 0 -0.0671146090536073 0.0386204458835495
1 0 0 0 -0.0611063836245967 0.0235432847466733
1 0 0 0 -0.0550981581955861 0.00981603203735687
1 0 0 0 -0.0490899327665755 -0.0025613122443998
1 0 0 0 -0.0430817073375648 -0.0135887480985967
1 0 0 0 -0.0370734819085542 -0.0232662755252338
1 0 0 0 -0.0310652564795436 -0.0315938945243112
1 0 0 0 -0.025057031050533 -0.0385716050958288
1 0 0 0 -0.0190488056215223 -0.0441994072397867
1 0 0 0 -0.0130405801925117 -0.0484773009561848
1 0 0 0 -0.00703235476350108 -0.0514052862450231
1 0 0 0 -0.00102412933449045 -0.0529833631063017
1 0 0 0 0.00498409609452018 -0.0532115315400204
1 0 0 0 0.0109923215235308 -0.0520897915461795
1 0 0 0 0.0170005469525414 -0.0496181431247787
1 0 0 0 0.0230087723815521 -0.0457965862758182
1 0 0 0 0.0290169978105627 -0.040625120999298
1 0 0 0 0.0350252232395733 -0.0341037472952179
1 0 0 0 0.0410334486685839 -0.0262324651635781
1 0 0 0 0.0470416740975946 -0.0170112746043785
1 0 0 0 0.0530498995266052 -0.00644017561761922
1 0 0 0 0.0590581249556158 0.00548083179669988
1 0 0 0 0.0650663503846265 0.0187517476385787
1 0 0 0 0.0710745758136371 0.0333725719080174
1 0 0 0 0.0770828012426477 0.0493433046050158
1 0 0 0 0.089099252100669 0.0853344952816918
1 0 0 0 0.0951074775296796 0.105354953261369
1 0 0 0 0.10111570295869 0.126725319668607
1 0 0 0 0.107123928387701 0.149445594503404
1 0 0 0 0.113132153816711 0.173515777765761
1 0 0 0 0.125148604674733 0.225705869573154
1 0 1 0 -0.0851392853406392 0.0919513798595367
1 0 1 0 -0.0791310599116286 0.0728244934399812
1 0 1 0 -0.073122834482618 0.0550475154479855
1 0 1 0 -0.0671146090536073 0.0386204458835495
1 0 1 0 -0.0611063836245967 0.0235432847466733
1 0 1 0 -0.0550981581955861 0.00981603203735687
1 0 1 0 -0.0490899327665755 -0.0025613122443998
1 0 1 0 -0.0430817073375648 -0.0135887480985967
1 0 1 0 -0.0370734819085542 -0.0232662755252338
1 0 1 0 -0.0310652564795436 -0.0315938945243112
1 0 1 0 -0.025057031050533 -0.0385716050958288
1 0 1 0 -0.0190488056215223 -0.0441994072397867
1 0 1 0 -0.0130405801925117 -0.0484773009561848
1 0 1 0 -0.00703235476350108 -0.0514052862450231
1 0 1 0 -0.00102412933449045 -0.0529833631063017
1 0 1 0 0.00498409609452018 -0.0532115315400204
1 0 1 0 0.0109923215235308 -0.0520897915461795
1 0 1 0 0.0170005469525414 -0.0496181431247787
1 0 1 0 0.0230087723815521 -0.0457965862758182
1 0 1 0 0.0290169978105627 -0.040625120999298
1 0 1 0 0.0350252232395733 -0.0341037472952179
1 0 1 0 0.0410334486685839 -0.0262324651635781
1 0 1 0 0.0470416740975946 -0.0170112746043785
1 0 1 0 0.0530498995266052 -0.00644017561761922
1 0 1 0 0.0590581249556158 0.00548083179669988
1 0 1 0 0.0650663503846265 0.0187517476385787
1 0 1 0 0.0770828012426477 0.0493433046050158
1 0 1 0 0.0830910266716583 0.0666639457295739
1 0 1 0 0.089099252100669 0.0853344952816918
1 0 1 0 -0.0911475107696499 0.112428174706652
1 0 1 0 -0.0851392853406392 0.0919513798595367
1 0 1 0 -0.0791310599116286 0.0728244934399812
1 0 1 0 -0.073122834482618 0.0550475154479855
1 0 1 0 -0.0671146090536073 0.0386204458835495
1 0 1 0 -0.0611063836245967 0.0235432847466733
1 0 1 0 -0.0550981581955861 0.00981603203735687
1 0 1 0 -0.0490899327665755 -0.0025613122443998
1 0 1 0 -0.0430817073375648 -0.0135887480985967
1 0 1 0 -0.0370734819085542 -0.0232662755252338
1 0 1 0 -0.0310652564795436 -0.0315938945243112
1 0 1 0 -0.025057031050533 -0.0385716050958288
1 0 1 0 -0.0190488056215223 -0.0441994072397867
1 0 1 0 -0.0130405801925117 -0.0484773009561848
1 0 1 0 -0.00703235476350108 -0.0514052862450231
1 0 1 0 -0.00102412933449045 -0.0529833631063017
1 0 1 0 0.00498409609452018 -0.0532115315400204
1 0 1 0 0.0109923215235308 -0.0520897915461795
1 0 1 0 0.0170005469525414 -0.0496181431247787
1 0 1 0 0.0230087723815521 -0.0457965862758182
1 0 1 0 0.0290169978105627 -0.040625120999298
1 0 1 0 0.0350252232395733 -0.0341037472952179
1 0 1 0 0.0410334486685839 -0.0262324651635781
1 0 1 0 0.0470416740975946 -0.0170112746043785
1 0 1 0 0.0530498995266052 -0.00644017561761922
1 0 1 0 0.0590581249556158 0.00548083179669988
1 0 1 0 0.0650663503846265 0.0187517476385787
1 0 1 0 0.0770828012426477 0.0493433046050158
1 0 1 0 0.0951074775296796 0.105354953261369
1 0 1 0 -0.0971557361986605 0.134254877981327
1 0 1 0 -0.0911475107696499 0.112428174706652
1 0 1 0 -0.0851392853406392 0.0919513798595367
1 0 1 0 -0.0791310599116286 0.0728244934399812
1 0 1 0 -0.073122834482618 0.0550475154479855
1 0 1 0 -0.0671146090536073 0.0386204458835495
1 0 1 0 -0.0611063836245967 0.0235432847466733
1 0 1 0 -0.0550981581955861 0.00981603203735687
1 0 1 0 -0.0490899327665755 -0.0025613122443998
1 0 1 0 -0.0430817073375648 -0.0135887480985967
1 0 1 0 -0.0370734819085542 -0.0232662755252338
1 0 1 0 -0.0310652564795436 -0.0315938945243112
1 0 1 0 -0.025057031050533 -0.0385716050958288
1 0 1 0 -0.0190488056215223 -0.0441994072397867
1 0 1 0 -0.0130405801925117 -0.0484773009561848
1 0 1 0 -0.00703235476350108 -0.0514052862450231
1 0 1 0 -0.00102412933449045 -0.0529833631063017
1 0 1 0 0.00498409609452018 -0.0532115315400204
1 0 1 0 0.0109923215235308 -0.0520897915461795
1 0 1 0 0.0170005469525414 -0.0496181431247787
1 0 1 0 0.0230087723815521 -0.0457965862758182
1 0 1 0 0.0290169978105627 -0.040625120999298
1 0 1 0 0.0350252232395733 -0.0341037472952179
1 0 1 0 0.0410334486685839 -0.0262324651635781
1 0 1 0 0.0470416740975946 -0.0170112746043785
1 0 1 0 0.0530498995266052 -0.00644017561761922
1 0 1 0 0.0590581249556158 0.00548083179669988
1 0 1 0 0.0650663503846265 0.0187517476385787
1 0 1 0 0.0710745758136371 0.0333725719080174
1 0 1 0 0.0770828012426477 0.0493433046050158
1 1 0 0 -0.0971557361986605 0.134254877981327
1 1 0 0 -0.0851392853406392 0.0919513798595367
1 1 0 0 -0.0791310599116286 0.0728244934399812
1 1 0 0 -0.073122834482618 0.0550475154479855
1 1 0 0 -0.0671146090536073 0.0386204458835495
1 1 0 0 -0.0611063836245967 0.0235432847466733
1 1 0 0 -0.0550981581955861 0.00981603203735687
1 1 0 0 -0.0490899327665755 -0.0025613122443998
1 1 0 0 -0.0430817073375648 -0.0135887480985967
1 1 0 0 -0.0370734819085542 -0.0232662755252338
1 1 0 0 -0.0310652564795436 -0.0315938945243112
1 1 0 0 -0.025057031050533 -0.0385716050958288
1 1 0 0 -0.0190488056215223 -0.0441994072397867
1 1 0 0 -0.0130405801925117 -0.0484773009561848
1 1 0 0 -0.00703235476350108 -0.0514052862450231
1 1 0 0 -0.00102412933449045 -0.0529833631063017
1 1 0 0 0.00498409609452018 -0.0532115315400204
1 1 0 0 0.0109923215235308 -0.0520897915461795
1 1 0 0 0.0170005469525414 -0.0496181431247787
1 1 0 0 0.0230087723815521 -0.0457965862758182
1 1 0 0 0.0290169978105627 -0.040625120999298
1 1 0 0 0.0350252232395733 -0.0341037472952179
1 1 0 0 0.0410334486685839 -0.0262324651635781
1 1 0 0 0.0470416740975946 -0.0170112746043785
1 1 0 0 0.0530498995266052 -0.00644017561761922
1 1 0 0 0.0590581249556158 0.00548083179669988
1 1 0 0 0.0650663503846265 0.0187517476385787
1 1 0 0 0.0710745758136371 0.0333725719080174
1 1 0 0 0.0830910266716583 0.0666639457295739
1 1 0 0 0.113132153816711 0.173515777765761
1 1 0 0 -0.073122834482618 0.0550475154479855
1 1 0 0 -0.0671146090536073 0.0386204458835495
1 1 0 0 -0.0611063836245967 0.0235432847466733
1 1 0 0 -0.0550981581955861 0.00981603203735687
1 1 0 0 -0.0490899327665755 -0.0025613122443998
1 1 0 0 -0.0430817073375648 -0.0135887480985967
1 1 0 0 -0.0370734819085542 -0.0232662755252338
1 1 0 0 -0.0310652564795436 -0.0315938945243112
1 1 0 0 -0.025057031050533 -0.0385716050958288
1 1 0 0 -0.0190488056215223 -0.0441994072397867
1 1 0 0 -0.0130405801925117 -0.0484773009561848
1 1 0 0 -0.00703235476350108 -0.0514052862450231
1 1 0 0 -0.00102412933449045 -0.0529833631063017
1 1 0 0 0.00498409609452018 -0.0532115315400204
1 1 0 0 0.0109923215235308 -0.0520897915461795
1 1 0 0 0.0170005469525414 -0.0496181431247787
1 1 0 0 0.0230087723815521 -0.0457965862758182
1 1 0 0 0.0290169978105627 -0.040625120999298
1 1 0 0 0.0350252232395733 -0.0341037472952179
1 1 0 0 0.0410334486685839 -0.0262324651635781
1 1 0 0 0.0470416740975946 -0.0170112746043785
1 1 0 0 0.0770828012426477 0.0493433046050158
1 1 0 0 0.113132153816711 0.173515777765761
1 0 0 1 -0.0911475107696499 0.112428174706652
1 0 0 1 -0.0851392853406392 0.0919513798595367
1 0 0 1 -0.0791310599116286 0.0728244934399812
1 0 0 1 -0.073122834482618 0.0550475154479855
1 0 0 1 -0.0671146090536073 0.0386204458835495
1 0 0 1 -0.0611063836245967 0.0235432847466733
1 0 0 1 -0.0550981581955861 0.00981603203735687
1 0 0 1 -0.0490899327665755 -0.0025613122443998
1 0 0 1 -0.0430817073375648 -0.0135887480985967
1 0 0 1 -0.0370734819085542 -0.0232662755252338
1 0 0 1 -0.0310652564795436 -0.0315938945243112
1 0 0 1 -0.025057031050533 -0.0385716050958288
1 0 0 1 -0.0190488056215223 -0.0441994072397867
1 0 0 1 -0.0130405801925117 -0.0484773009561848
1 0 0 1 -0.00703235476350108 -0.0514052862450231
1 0 0 1 -0.00102412933449045 -0.0529833631063017
1 0 0 1 0.00498409609452018 -0.0532115315400204
1 0 0 1 0.0109923215235308 -0.0520897915461795
1 0 0 1 0.0170005469525414 -0.0496181431247787
1 0 0 1 0.0230087723815521 -0.0457965862758182
1 0 0 1 0.0290169978105627 -0.040625120999298
1 0 0 1 0.0350252232395733 -0.0341037472952179
1 0 0 1 0.0410334486685839 -0.0262324651635781
1 0 0 1 0.0470416740975946 -0.0170112746043785
1 0 0 1 0.0530498995266052 -0.00644017561761922
1 0 0 1 0.0590581249556158 0.00548083179669988
1 0 0 1 0.0650663503846265 0.0187517476385787
1 0 0 1 0.0710745758136371 0.0333725719080174
1 0 0 1 0.0770828012426477 0.0493433046050158
1 0 0 1 -0.0791310599116286 0.0728244934399812
1 0 0 1 -0.073122834482618 0.0550475154479855
1 0 0 1 -0.0671146090536073 0.0386204458835495
1 0 0 1 -0.0611063836245967 0.0235432847466733
1 0 0 1 -0.0550981581955861 0.00981603203735687
1 0 0 1 -0.0490899327665755 -0.0025613122443998
1 0 0 1 -0.0430817073375648 -0.0135887480985967
1 0 0 1 -0.0370734819085542 -0.0232662755252338
1 0 0 1 -0.0310652564795436 -0.0315938945243112
1 0 0 1 -0.025057031050533 -0.0385716050958288
1 0 0 1 -0.0190488056215223 -0.0441994072397867
1 0 0 1 -0.0130405801925117 -0.0484773009561848
1 0 0 1 -0.00703235476350108 -0.0514052862450231
1 0 0 1 -0.00102412933449045 -0.0529833631063017
1 0 0 1 0.00498409609452018 -0.0532115315400204
1 0 0 1 0.0109923215235308 -0.0520897915461795
1 0 0 1 0.0170005469525414 -0.0496181431247787
1 0 0 1 0.0230087723815521 -0.0457965862758182
1 0 0 1 0.0290169978105627 -0.040625120999298
1 0 0 1 0.0350252232395733 -0.0341037472952179
1 0 0 1 0.0410334486685839 -0.0262324651635781
1 0 0 1 0.0470416740975946 -0.0170112746043785
1 0 0 1 0.0530498995266052 -0.00644017561761922
1 0 0 1 0.0590581249556158 0.00548083179669988
1 0 0 1 0.0650663503846265 0.0187517476385787
1 0 0 1 0.0710745758136371 0.0333725719080174
1 0 0 1 0.0770828012426477 0.0493433046050158
1 0 0 1 0.0951074775296796 0.105354953261369
1 0 0 1 -0.0791310599116286 0.0728244934399812
1 0 0 1 -0.073122834482618 0.0550475154479855
1 0 0 1 -0.0671146090536073 0.0386204458835495
1 0 0 1 -0.0611063836245967 0.0235432847466733
1 0 0 1 -0.0550981581955861 0.00981603203735687
1 0 0 1 -0.0490899327665755 -0.0025613122443998
1 0 0 1 -0.0430817073375648 -0.0135887480985967
1 0 0 1 -0.0370734819085542 -0.0232662755252338
1 0 0 1 -0.0310652564795436 -0.0315938945243112
1 0 0 1 -0.025057031050533 -0.0385716050958288
1 0 0 1 -0.0190488056215223 -0.0441994072397867
1 0 0 1 -0.0130405801925117 -0.0484773009561848
1 0 0 1 -0.00703235476350108 -0.0514052862450231
1 0 0 1 -0.00102412933449045 -0.0529833631063017
1 0 0 1 0.00498409609452018 -0.0532115315400204
1 0 0 1 0.0109923215235308 -0.0520897915461795
1 0 0 1 0.0170005469525414 -0.0496181431247787
1 0 0 1 0.0230087723815521 -0.0457965862758182
1 0 0 1 0.0290169978105627 -0.040625120999298
1 0 0 1 0.0350252232395733 -0.0341037472952179
1 0 0 1 0.0410334486685839 -0.0262324651635781
1 0 0 1 0.0470416740975946 -0.0170112746043785
1 0 0 1 0.0530498995266052 -0.00644017561761922
1 0 0 1 0.0590581249556158 0.00548083179669988
1 0 0 1 0.0650663503846265 0.0187517476385787
1 0 0 1 0.0710745758136371 0.0333725719080174
1 0 0 1 0.0830910266716583 0.0666639457295739
1 0 0 1 0.089099252100669 0.0853344952816918
1 0 0 1 0.0951074775296796 0.105354953261369
1 0 0 0 -0.0791310599116286 0.0728244934399812
1 0 0 0 -0.073122834482618 0.0550475154479855
1 0 0 0 -0.0671146090536073 0.0386204458835495
1 0 0 0 -0.0611063836245967 0.0235432847466733
1 0 0 0 -0.0550981581955861 0.00981603203735687
1 0 0 0 -0.0490899327665755 -0.0025613122443998
1 0 0 0 -0.0430817073375648 -0.0135887480985967
1 0 0 0 -0.0370734819085542 -0.0232662755252338
1 0 0 0 -0.0310652564795436 -0.0315938945243112
1 0 0 0 -0.025057031050533 -0.0385716050958288
1 0 0 0 -0.0190488056215223 -0.0441994072397867
1 0 0 0 -0.0130405801925117 -0.0484773009561848
1 0 0 0 -0.00703235476350108 -0.0514052862450231
1 0 0 0 -0.00102412933449045 -0.0529833631063017
1 0 0 0 0.00498409609452018 -0.0532115315400204
1 0 0 0 0.0109923215235308 -0.0520897915461795
1 0 0 0 0.0170005469525414 -0.0496181431247787
1 0 0 0 0.0230087723815521 -0.0457965862758182
1 0 0 0 0.0290169978105627 -0.040625120999298
1 0 0 0 0.0350252232395733 -0.0341037472952179
1 0 0 0 0.0410334486685839 -0.0262324651635781
1 0 0 0 0.0470416740975946 -0.0170112746043785
1 0 0 0 0.0530498995266052 -0.00644017561761922
1 0 0 0 0.0590581249556158 0.00548083179669988
1 0 0 0 0.0650663503846265 0.0187517476385787
1 0 0 0 0.0710745758136371 0.0333725719080174
1 0 0 0 0.0770828012426477 0.0493433046050158
1 0 0 0 0.0830910266716583 0.0666639457295739
1 0 0 0 0.089099252100669 0.0853344952816918
1 0 0 0 0.10111570295869 0.126725319668607
1 0 0 0 0.113132153816711 0.173515777765761
1 0 0 0 -0.0971557361986605 0.134254877981327
1 0 0 0 -0.0911475107696499 0.112428174706652
1 0 0 0 -0.0791310599116286 0.0728244934399812
1 0 0 0 -0.073122834482618 0.0550475154479855
1 0 0 0 -0.0671146090536073 0.0386204458835495
1 0 0 0 -0.0611063836245967 0.0235432847466733
1 0 0 0 -0.0550981581955861 0.00981603203735687
1 0 0 0 -0.0490899327665755 -0.0025613122443998
1 0 0 0 -0.0430817073375648 -0.0135887480985967
1 0 0 0 -0.0370734819085542 -0.0232662755252338
1 0 0 0 -0.0310652564795436 -0.0315938945243112
1 0 0 0 -0.025057031050533 -0.0385716050958288
1 0 0 0 -0.0190488056215223 -0.0441994072397867
1 0 0 0 -0.0130405801925117 -0.0484773009561848
1 0 0 0 -0.00703235476350108 -0.0514052862450231
1 0 0 0 -0.00102412933449045 -0.0529833631063017
1 0 0 0 0.00498409609452018 -0.0532115315400204
1 0 0 0 0.0109923215235308 -0.0520897915461795
1 0 0 0 0.0170005469525414 -0.0496181431247787
1 0 0 0 0.0230087723815521 -0.0457965862758182
1 0 0 0 0.0290169978105627 -0.040625120999298
1 0 0 0 0.0350252232395733 -0.0341037472952179
1 0 0 0 0.0410334486685839 -0.0262324651635781
1 0 0 0 0.0470416740975946 -0.0170112746043785
1 0 0 0 0.0530498995266052 -0.00644017561761922
1 0 0 0 0.0590581249556158 0.00548083179669988
1 0 0 0 0.0650663503846265 0.0187517476385787
1 0 0 0 0.0710745758136371 0.0333725719080174
1 0 0 0 0.0770828012426477 0.0493433046050158
1 0 0 0 0.0951074775296796 0.105354953261369
# conditional matrix Xcond 
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
375.75 467.5 294.7 132
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
372.1 417.2 320.2 157.8
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
406.1 302.5 438 165.2
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
279.7 263.2 351.8 263
